Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2020,166,166,USNews,Adelphi University ,Adelphi University,NY,private,41,41,2.3,154,82%,60%,70%,10,66%,90,147,45%,2%,12,12 to 1,279,1080,1270,26%,74%,164,8%
2020,77,77,USNews,American University ,American University,DC,private,56,56,3.2,82,89%,81%,80%,-1,77%,176,44,55%,1%,12,12 to 1,90,1220,1380,31%,32%,93,6%
2020,293,293-381,USNews,Andrews University ,Andrews University,MI,private,,,1.8,,84%,68%,57%,,34%,270,,69%,4%,,,,21,27,18%,66%,,3%
2020,117,117,USNews Rutgers University – New Brunswick,Arizona State University--Tempe,Arizona State University (Tempe),,public,50,50,3.4,154,87%,62%,69%,7,62%,147,194,38%,18%,20,20 to 1,134,1130,1360,33%,85%,164,10%
2020,293,293-381,USNews,Arkansas State University,Arkansas State University,,public,,,2.2,,75%,54%,47%,,36%,119,,54%,4%,,,,21,27,20%,77%,,9%
2020,104,104,USNews,Auburn University ,Auburn University,AL,public,51,51,3.3,98,91%,74%,78%,4,64%,380,182,35%,17%,19,19 to 1,90,25,30,32%,75%,140,13%
2020,293,293-381,USNews,Augusta University ,Augusta University,GA,public,,,2,,74%,64%,31%,,28%,165,,,,,,,20,26,,76%,,3%
2020,293,293-381,USNews,Aurora University ,Aurora University,IL,private,,,1.8,,71%,51%,56%,,,176,,,,,,,19,23,,87%,,
2020,228,228,USNews,Azusa Pacific University ,Azusa Pacific University,CA,private,33,33,2.1,154,85%,62%,63%,1,65%,75,295,57%,2%,11,11 to 1,288,1020,1240,,69%,219,5%
2020,254,254,USNews,Baker University ,Baker University,KS,private,30,30,1.8,230,77%,59%,59%,,60%,138,110,71%,0.40%,12,12 to 1,245,20,25,19%,88%,276,8%
2020,192,192,USNews,Ball State University ,Ball State University,IN,public,38,38,2.6,195,81%,58%,62%,4,57%,53,246,41%,6%,17,17 to 1,215,1080,1240,18%,62%,276,10%
2020,293,293-381,USNews,Barry University ,Barry University,FL,private,,,2,,63%,43%,36%,,33%,84,,69%,0%,,,,940,1100,,91%,,1%
2020,79,79,USNews,Baylor University ,Baylor University,TX,private,55,55,3.2,103,89%,76%,79%,3,69%,297,58,50%,9%,14,14 to 1,79,26,31,40%,52%,103,14%
2020,197,197,USNews,Bellarmine University ,Bellarmine University,KY,private,37,37,2.2,187,78%,66%,67%,1,63%,147,136,52%,1%,11,11 to 1,173,22,28,,86%,231,12%
2020,166,166,USNews,Belmont University ,Belmont University,TN,private,41,41,2.7,141,83%,77%,73%,-4,63%,348,85,45%,0.10%,13,13 to 1,113,24,29,30%,82%,283,8%
2020,293,293-381,USNews,Benedictine University ,Benedictine University,IL,private,,,2.1,,70%,53%,47%,,45%,66,,64%,0.40%,,,,980,1190,14%,65%,,5%
2020,197,197,USNews,Bethel University ,Bethel University,MN,private,37,37,2,117,86%,73%,75%,2,67%,224,194,55%,2%,12,12 to 1,152,22,28,25%,71%,276,9%
2020,79,79,USNews,Binghamton University--SUNY,SUNY Binghamton University,,public,55,55,3,69,92%,77%,82%,5,79%,108,64,46%,14%,19,19 to 1,62,1310,1440,54%,40%,219,6%
2020,185,185,USNews,Biola University ,Biola University,CA,private,39,39,2,127,86%,70%,73%,3,69%,34,256,54%,5%,14,14 to 1,170,1060,1260,47%,87%,219,6%
2020,293,293-381,USNews,Boise State University ,Boise State University,ID,public,,,2.6,,79%,55%,46%,,39%,285,,34%,11%,,,,1030,1220,16%,81%,,7%
2020,37,37,USNews,Boston College,Boston College,,private,69,69,3.7,23,95%,95%,92%,-3,91%,270,42,49%,6%,11,11 to 1,28,1320,1490,78%,28%,65,24%
2020,40,40,USNews,Boston University,Boston University,,private,67,67,3.7,40,93%,85%,88%,3,88%,270,30,62%,12%,10,10 to 1,40,1330,1500,65%,22%,49,10%
