Rank,RankO,Master_col,Name,Ranking_Agency,Year,Region,No. of FTE Students,No. of students per staff,International Students,Female_Ratio,Male_Ratio,Overall,Teaching,Research,Citations,Industry Income,International Outlook
2,2,Harvard University,Harvard University,Times,2023,United States,"21,887",9.6,25%,50%,50%,95.2,94.8,99,99.3,49.5,80.5
3,3,Stanford University,Stanford University,Times,2023,United States,"16,164",7.1,24%,46%,54%,94.8,94.2,96.7,99.8,65,79.8
5,5,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Times,2023,United States,"11,415",8.2,33%,40%,60%,94.2,90.7,93.6,99.8,90.9,89.3
6,6,California Institute of Technology,California Institute of Technology,Times,2023,United States,"2,237",6.2,34%,37%,63%,94.1,90.9,97,97.3,89.8,83.6
7,7,Princeton University,Princeton University,Times,2023,United States,"8,279",8,23%,46%,54%,92.4,87.6,95.9,99.1,66,80.3
8,8,"University of California, Berkeley","University of California, Berkeley",Times,2023,United States,"40,921",18.4,24%,52%,48%,92.1,86.4,95.8,99,76.8,78.4
9,9,Yale University,Yale University,Times,2023,United States,"13,482",5.9,21%,52%,48%,91.4,92.6,92.7,97,55,70.9
11,11,Columbia University,Columbia University,Times,2023,United States,"21,781",4.5,38%,NA,NA,89.4,89.4,87.7,97.1,44.8,79.9
13,13,The University of Chicago,The University of Chicago,Times,2023,United States,"15,366",6,36%,47%,53%,88.9,86.5,88.8,97.7,56.2,74.2
14,14,University of Pennsylvania,University of Pennsylvania,Times,2023,United States,"21,453",6.3,23%,53%,47%,88.8,86,88.8,97,75.8,71.5
15,15,Johns Hopkins University,Johns Hopkins University,Times,2023,United States,"17,584",4.7,29%,53%,47%,88.3,79.4,91.5,97,89.5,75.3
20,20,Cornell University,Cornell University,Times,2023,United States,"24,027",10.3,26%,51%,49%,85.9,80.2,86.1,97.3,40.4,76.9
21,21,"University of California, Los Angeles","University of California, Los Angeles",Times,2023,United States,"42,434",9.7,16%,56%,44%,85.8,80.4,88.9,95.4,58.8,65
23,23,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,Times,2023,United States,"45,912",8.2,17%,50%,50%,82.9,79.3,84.6,93.6,48.7,59.2
24,24,New York University,New York University,Times,2023,United States,"36,337",9.8,42%,57%,43%,82.7,74.2,84,95,44.6,74.7
25,25,Duke University,Duke University,Times,2023,United States,"16,091",4.2,24%,52%,48%,82.6,78.1,76.2,95.7,99.6,68
26,26,Northwestern University,Northwestern University,Times,2023,United States,"19,175",13.2,20%,51%,49%,82.1,71.7,80.7,97.5,85,67
26,26,University of Washington,University of Washington,Times,2023,United States,"47,727",10.8,18%,55%,45%,82.1,71.6,82.8,98.9,53.9,63
28,28,Carnegie Mellon University,Carnegie Mellon University,Times,2023,United States,"14,305",12.9,47%,44%,56%,81.1,65.4,81.8,98.7,55.2,80.1
32,32,"University of California, San Diego","University of California, San Diego",Times,2023,United States,"37,030",11.3,28%,48%,52%,78.1,60.2,77.2,98.2,93,67.8
38,38,Georgia Institute of Technology,Georgia Institute of Technology,Times,2023,United States,"28,826",24.7,40%,33%,67%,76,60.2,75.9,91.4,64.9,81.2
48,48,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Times,2023,United States,"48,674",17.4,22%,48%,52%,72.7,67.1,78.9,78.1,50.1,56.2
50,50,University of Texas at Austin,University of Texas at Austin,Times,2023,United States,"49,171",17.4,10%,53%,47%,72.3,66.2,73.1,87.5,51.3,40.1
57,57,Washington University in St Louis,Washington University in St Louis,Times,2023,United States,"14,420",7.8,24%,53%,47%,70.6,60.3,56.8,98.2,47.5,64
61,61,Brown University,Brown University,Times,2023,United States,"10,037",10.1,21%,NA,NA,69.3,64.5,58,89.5,39,63.3
63,63,"University of California, Davis","University of California, Davis",Times,2023,United States,"37,639",13.1,18%,60%,40%,68.5,59.7,66.3,80.9,52.4,68.7
64,64,"University of California, Santa Barbara","University of California, Santa Barbara",Times,2023,United States,"25,860",28.5,20%,54%,46%,68.4,44.6,61.5,96.2,80.1,76
65,65,University of Southern California,University of Southern California,Times,2023,United States,"40,549",12.6,22%,49%,51%,68.3,58.9,58.6,90.4,43.8,63.7
69,69,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Times,2023,United States,"31,080",7.9,8%,59%,41%,67.8,58.9,59.7,93.3,46,41.7
71,71,Boston University,Boston University,Times,2023,United States,"27,243",10.8,31%,59%,41%,67.5,55.9,56.1,92.9,41.1,65.9
81,81,University of Wisconsin-Madison,University of Wisconsin-Madison,Times,2023,United States,"40,701",10,14%,NA,NA,65.5,59.7,62.9,78.7,48.4,51.8
82,82,Emory University,Emory University,Times,2023,United States,"13,190",4.2,20%,60%,40%,65.3,54.8,46,98,48.6,59.8
95,95,"University of California, Irvine","University of California, Irvine",Times,2023,United States,"36,655",16.9,28%,52%,48%,63.6,43.5,51.6,93.6,59.4,73.2
98,98,Vanderbilt University,Vanderbilt University,Times,2023,United States,"12,696",3.8,15%,55%,45%,63.5,49.5,47.5,96.5,66.7,50.6
101,101,University of Minnesota,University of Minnesota,Times,2023,United States,"61,009",12,10%,54%,46%,63,55.1,56.9,81.2,77.8,41.7
104,104,"University of Maryland, College Park","University of Maryland, College Park",Times,2023,United States,"33,775",16.5,11%,49%,51%,62.9,48.1,57.7,89.7,40,42.6
106,106,Michigan State University,Michigan State University,Times,2023,United States,"45,465",16,13%,52%,48%,62.8,56.2,55.6,78.8,39.9,61.9
112,112,Ohio State University (Main campus),Ohio State University (Main campus),Times,2023,United States,"55,814",11.8,13%,51%,49%,62.2,53,51.2,83.4,55.3,60.3
123,123,Dartmouth College,Dartmouth College,Times,2023,United States,"6,440",7.8,15%,49%,51%,60.7,59.8,40.4,88.2,40,42
127,127,Purdue University West Lafayette,Purdue University West Lafayette,Times,2023,United States,"44,551",16.9,20%,44%,56%,60.1,55.9,64.2,56.9,67.8,71.1
134,134,Case Western Reserve University,Case Western Reserve University,Times,2023,United States,"10,934",8.2,20%,51%,49%,59,48.4,40.6,90.7,43.4,52.9
136,136,Georgetown University,Georgetown University,Times,2023,United States,"16,074",8,19%,54%,46%,58.6,55.5,35,88,54,49.1
144,144,University of Pittsburgh-Pittsburgh campus,University of Pittsburgh-Pittsburgh campus,Times,2023,United States,"26,575",5.5,11%,55%,45%,58.3,46.2,42.9,90.6,44.2,43.4
147,147,Rice University,Rice University,Times,2023,United States,"7,068",9.2,28%,43%,57%,57.9,46.5,39.7,84.4,44.5,75.3
148,148,University of Colorado Boulder,University of Colorado Boulder,Times,2023,United States,"34,928",16,8%,45%,55%,57.8,45.6,46.3,85.5,44.6,45.6
151,151,University of Florida,University of Florida,Times,2023,United States,"46,807",16.1,8%,56%,44%,57.7,55,58.7,64.2,51.4,41.4
151,151,Penn State (Main campus),Penn State (Main campus),Times,2023,United States,"46,863",14,16%,47%,53%,57.7,47.8,53.8,75.2,41.6,48.3
151,151,Tufts University,Tufts University,Times,2023,United States,"11,399",10,16%,56%,44%,57.7,47.1,36.7,92.2,43.4,51.4
154,154,University of Rochester,University of Rochester,Times,2023,United States,"10,364",7.7,36%,50%,50%,57.6,42,40.5,87,49.3,73.8
156,156,Arizona State University (Tempe),Arizona State University (Tempe),Times,2023,United States,"50,027",19.6,17%,45%,55%,57.4,44.8,47.9,79.6,40.2,62.5
156,156,University of Virginia (Main campus),University of Virginia (Main campus),Times,2023,United States,"25,810",9,13%,53%,47%,57.4,48.1,39.8,86.6,45.8,52.5
168,168,"Northeastern University, US","Northeastern University, US",Times,2023,United States,"21,211",14.6,36%,48%,52%,56.6,39.9,30.2,96.2,40.1,76.3
