,Rank_Times,RankO,Master_col,Name_Times,Ranking_Agency_Times,Year,Region_Times,No..of.FTE.Students,No..of.students.per.staff,International.Students,Female_Ratio,Male_Ratio,Overall_Times,Teaching,Research,Citations,Industry.Income,International.Outlook,Name_QS,Ranking_Agency_QS,Region_QS,Rank_QS,Classification_Size,Classification_Focus,Classification_Res,Classification_Age,Academic_Reputation_Score,Academic_Reputation_rank,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Employer_Reputation_rank,Faculty_Student_Score,Faculty_Student_Rank,Faculty_Student_rank,Citations_per_Faculty_Score,Citations_per_Faculty_rank,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_rank,International_Faculty_Rank,International_Students_Score,International_Students_rank,International_Students_Rank,Overall_QS,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
1,2,2,Harvard University,Harvard University,Times,2023,United States,"21,887",9.6,25%,50%,50%,95.2,94.8,99,99.3,49.5,80.5,Harvard University,QS,United States,5,L,FC,VH,5,100,1,1,100,1,1,99.4,35,35,100,2,2,76.9,228,228,66.9,212,212,97.6,3,3,USNews,Harvard University,MA,private,96,96,4.8,2,92%,95%,97%,2,94%,250,3,71%,11%,7,7 to 1,5,1480,1580,93%,,7,24%
2,3,3,Stanford University,Stanford University,Times,2023,United States,"16,164",7.1,24%,46%,54%,94.8,94.2,96.7,99.8,65,79.8,Stanford University,QS,United States,3,L,FC,VH,5,100,4,4,100,5,5,100,6,6,99.9,9,9,99.8,74,74,60.3,235,235,98.5,3,3,USNews,Stanford University,CA,private,96,96,4.9,11,96%,95%,96%,1,92%,282,4,68%,12%,5,5 to 1,3,1470,1570,96%,,4,21%
3,5,5,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Times,2023,United States,"11,415",8.2,33%,40%,60%,94.2,90.7,93.6,99.8,90.9,89.3,Massachusetts Institute of Technology (MIT),QS,United States,1,M,CO,VH,5,100,5,5,100,4,4,100,14,14,100,5,5,100,54,54,90,109,109,100,2,2,USNews,Massachusetts Institute of Technology,MA,private,97,97,4.9,2,99%,95%,96%,1,93%,242,6,69%,11%,3,3 to 1,3,1510,1580,99%,,2,27%
4,6,6,California Institute of Technology,California Institute of Technology,Times,2023,United States,"2,237",6.2,34%,37%,63%,94.1,90.9,97,97.3,89.8,83.6,California Institute of Technology (Caltech),QS,United States,6,S,CO,VH,5,96.5,28,28,87.1,58,58,100,3,3,100,4,4,99.8,75,75,85.1,134,134,97,9,9,USNews,California Institute of Technology,CA,private,93,93,4.6,17,97%,97%,93%,-4,88%,313,5,71%,7%,3,3 to 1,5,1530,1580,91%,,2,21%
5,7,7,Princeton University,Princeton University,Times,2023,United States,"8,279",8,23%,46%,54%,92.4,87.6,95.9,99.1,66,80.3,Princeton University,QS,United States,16,M,CO,VH,5,99.9,10,10,98.9,14,14,72.6,172,172,100,3,3,26,515,515,62.2,226,226,89.2,1,1,USNews,Princeton University,NJ,private,100,100,4.8,2,94%,93%,98%,5,96%,186,2,75%,10%,5,5 to 1,11,1460,1570,92%,,11,48%
6,8,8,"University of California, Berkeley","University of California, Berkeley",Times,2023,United States,"40,921",18.4,24%,52%,48%,92.1,86.4,95.8,99,76.8,78.4,"University of California, Berkeley (UCB)",QS,United States,27,XL,FC,VH,5,100,6,6,100,6,6,23.9,599,599,99.9,10,10,93.3,155,155,57.7,248,248,82.7,20,20,USNews,"University of California, Berkeley",CA,public,83,83,4.7,24,97%,91%,93%,2,89%,105,53,51%,20%,20,20 to 1,24,1290,1530,96%,,47,7%
7,9,9,Yale University,Yale University,Times,2023,United States,"13,482",5.9,21%,52%,48%,91.4,92.6,92.7,97,55,70.9,Yale University,QS,United States,18,M,FC,VH,5,99.9,9,9,100,7,7,100,2,2,51.5,249,249,89.2,179,179,77.3,165,165,89,3,3,USNews,Yale University,CT,private,96,96,4.8,11,90%,96%,97%,1,93%,270,6,71%,11%,6,6 to 1,5,1480,1580,97%,,1,22%
8,11,11,Columbia University,Columbia University,Times,2023,United States,"21,781",4.5,38%,NA,NA,89.4,89.4,87.7,97.1,44.8,79.9,Columbia University,QS,United States,22,L,FC,VH,5,99.7,11,11,98.1,20,20,100,12,12,47.2,282,282,47.6,369,369,94.6,85,85,86.7,18,18,USNews,Columbia University,NY,private,84,84,4.7,2,97%,95%,96%,1,,197,25,,,6,6 to 1,140,1460,1570,,,14,
9,13,13,The University of Chicago,The University of Chicago,Times,2023,United States,"15,366",6,36%,47%,53%,88.9,86.5,88.8,97.7,56.2,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,14,14,University of Pennsylvania,University of Pennsylvania,Times,2023,United States,"21,453",6.3,23%,53%,47%,88.8,86,88.8,97,75.8,71.5,University of Pennsylvania,QS,United States,13,L,FC,VH,5,96.5,29,29,92.5,45,45,99.9,23,23,70.9,142,142,96.2,128,128,66.1,215,215,90.6,7,7,USNews,University of Pennsylvania,PA,private,94,94,4.6,2,97%,97%,96%,-1,95%,313,6,68%,9%,7,7 to 1,5,1480,1570,93%,,13,37%
11,15,15,Johns Hopkins University,Johns Hopkins University,Times,2023,United States,"17,584",4.7,29%,53%,47%,88.3,79.4,91.5,97,89.5,75.3,Johns Hopkins University,QS,United States,24,L,FC,VH,5,87.9,49,49,47.2,198,198,100,5,5,87.3,76,76,63.6,294,294,82.9,145,145,85.1,7,7,USNews,Johns Hopkins University,MD,private,94,94,4.7,17,97%,96%,95%,-1,95%,326,11,79%,5%,6,6 to 1,1,1510,1570,99%,,4,26%
12,20,20,Cornell University,Cornell University,Times,2023,United States,"24,027",10.3,26%,51%,49%,85.9,80.2,86.1,97.3,40.4,76.9,Cornell University,QS,United States,20,L,FC,VH,5,98.3,23,23,91.4,50,50,62.2,245,245,99.3,17,17,63.9,290,290,55.3,256,256,87.2,17,17,USNews,Cornell University,NY,private,86,86,4.6,11,97%,95%,95%,NA,91%,270,31,55%,19%,9,9 to 1,21,1450,1560,84%,,19,20%
13,21,21,"University of California, Los Angeles","University of California, Los Angeles",Times,2023,United States,"42,434",9.7,16%,56%,44%,85.8,80.4,88.9,95.4,58.8,65,"University of California, Los Angeles (UCLA)",QS,United States,44,XL,FC,VH,5,100,8,8,99.9,8,8,37.7,410,410,85.9,87,87,45.1,377,377,27.5,450,450,78.7,20,20,USNews,"University of California, Los Angeles",CA,public,83,83,4.4,25,97%,88%,92%,4,88%,46,28,48%,23%,18,18 to 1,84,1290,1520,,,17,5%
14,23,23,University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,Times,2023,United States,"45,912",8.2,17%,50%,50%,82.9,79.3,84.6,93.6,48.7,59.2,University of Michigan-Ann Arbor,QS,United States,25,XL,FC,VH,5,98.5,22,22,91.3,52,52,88.9,92,92,62.5,190,190,71.2,253,253,33.1,404,404,84.4,25,25,USNews,University of Michigan--Ann Arbor,MI,public,80,80,4.4,17,97%,89%,94%,5,89%,326,53,54%,19%,15,15 to 1,33,1360,1530,74%,,44,13%
15,24,24,New York University,New York University,Times,2023,United States,"36,337",9.8,42%,57%,43%,82.7,74.2,84,95,44.6,74.7,New York University (NYU),QS,United States,39,XL,FC,VH,5,95.9,32,32,99,13,13,98.1,48,48,28.9,440,440,31.3,463,463,94.4,87,87,80.3,25,25,USNews,New York University,NY,private,80,80,4.1,48,93%,82%,87%,5,86%,140,17,60%,9%,8,8 to 1,18,1450,1570,95%,,29,7%
